ADV-ID,Class,Gender,Major1,Major2,Major3,Bus-City,Bus-State,Bus-Zipcode,Bus-Country,Job-Title,Field of Work,Industry,Employer
0007826079,1978,F,American Civilization,,,,,,,Fundraising Consultant,,,"Browning Associates, Inc."
0007377562,1973,M,American Studies,,,,,,,,,,"Schneider, Tanaka, et al."
0010046218,2006,M,American Studies,,,,,,,Research Associate,,,KPMG L.L.P.
0010037383,2002,F,American Studies,,,,,,,Group Tour Manager,,,Bartram's Garden
0008049100,1980,M,American Studies,,,,,,,Social Media Manager,,,Kenexa
0008500300,1985,F,American Studies,,,,,,,Science Writer/Editor,Editing/Writing,Education - College/University,University of Pittsburgh
0007767315,1977,M,American Studies,,,,,,,Managing Director,Venture Capital,,Spencer Trask & Co.
0007004626,1970,M,Art,,,,,,,President,,,The InterBusiness Marketing Group
0006355217,1963,M,Art,,,,,,,Executive Director,Art Museum/Gallery,Arts Organization,Qatar Museums Authority
0010046863,2006,F,Art,Economics,,,,,Hong Kong,,Finance,Banking/Financial Service,BlackRock Asset Mgmt N Asia Limit.
0010020026,1994,F,Art,,,,,,,"VP, Prod. Dev./Publisher",,,PCI Education
0010032656,2000,M,Art,,,,,,,Vice President,,,"Robert Charles Lesser & Company, LLC"
0010041644,2004,F,Art,,,,,,,"Coordinator, Partnerships",Arts Administrator,Education - College/University,Graham School
0010039708,2003,F,Art,,,,,,,Executive Vice President,,,Beacon Revenue Group
0010052533,2009,F,Art,,,,,,,Owner,Retail/Wholesale,Retail/Wholesale Trade,Orient Country Store
0007634632,1976,M,Art History,,,,,,,Pastor,Religious Service,,United Church of Dorset
0007220507,1972,M,Art History,History,,,,,Canada,Managing Director,Banking,Banking/Financial Service,"Goldman, Sachs & Company"
0010024059,1996,M,Art History,,,,,,,Program Manager,,,New England Clean Energy Council
0010028284,1998,F,Asian Studies,Religion,,,,,,Political Officer,Foreign Service,Government,U.S. Embassy Bratislava
0007771119,1977,M,Astrophysics,Mathematic Sciences,,,,,,Principal Member of Tech. Staff,Computing,Computers/Information Service,Oracle
0008272140,1982,M,Biology,,,,,,,Orthopedic Surgeon,Physician/Surgeon,,Central Maine Orthopedics
0010025919,1997,F,Biology,Economics,,,,,,Resident,Health Care/Hospital,Health Care/Hospital/Medical Serv.,Saint Louis Children's Hospital
0010023906,1996,F,Biology,,,,,,,Pediatric Emergency Medicine,Physician/Surgeon,Health Care/Hospital/Medical Serv.,Newton-Wellesley Hospital
0010043560,2005,M,Biology,,,,,,,Anesthesia Intern,Physician/Surgeon,Health Care/Hospital/Medical Serv.,New York Presbyterian Hospital
0008500049,1985,M,Biology,Environmental Studies,,,,,,Medical Epidemiologist,,,Ctrs. for Disease Control & Prev.
0010020071,1994,F,Biology,,,,,,,Director,Designing,Arts Organization,Thinkwell Group
0010018132,1993,F,Biology,,,,,,,Associate Director,Pharmaceuticals,,Merck & Company Incorporated
0010012587,1991,M,Biology,,,,,,,Asst. Professor,Educator,Education - College/University,Texas A&M International University
0007851513,1978,M,Biology,,,,,,,Manager,Management,Retail/Wholesale Trade,Pack Creek Outfitters
0007543282,1975,M,Chemistry,,,,,,,,Business Administration,,Aramark Corp
0010010265,1987,M,Chemistry,English,,,,,,Physician,Physician/Surgeon,,Northwest Acute Care Specialists
0010009358,1987,F,Chemistry,English,,,,,,Group Chair,,,Vistage International
