major1,major2,Industry,gradyear
AMST,ARHS,Other,2007
ANTH,ARHS,Unlisted,2004
ANTH,ARTS,Education (Secondary),2004
ANTH,ARTS,Medicine,2005
ANTH,ARTS,Education (Secondary),2008
ARHS,ARTS,Accounting,2006
ANTH,BIOL,Unlisted,2004
ARTS,BIOL,Graduate Studies,2002
ARTS,BIOL,Ministry,2012
ARTS,CHEM,Social Work/Human Services,2012
ANTH,CLAS,Unlisted,2007
ARTS,CLAS,ECommerce/Web,2011
AMST,DANC,Unlisted,2005
AMST,DANC,Law,2009
BIOL,DANC,Unlisted,2006
AMST,DRAM,Unlisted,2004
AMST,DRAM,Unlisted,2006
AMST,DRAM,Unlisted,2006
AMST,DRAM,Unlisted,2007
AMST,DRAM,Journalism,2009
ANTH,DRAM,Health Care,2011
ARTS,DRAM,Unlisted,2003
ANTH,ECON,Other,2002
ANTH,ECON,Education (Elementary),2003
ARTS,ECON,Education (Higher Education),2012
ARTS,ECON,Business,2006
ARTS,ECON,Museum Work,2006
ARTS,ECON,Investment/Securities,2007
ARTS,ECON,Fundraising/Development,2009
ARTS,ECON,Social Work/Human Services,2011
BCHM,ECON,Fundraising/Development,2008
CHEM,ECON,Sports,2005
CLAS,ECON,"Research,Scientific",2012
DRAM,ECON,Unlisted,2005
DRAM,ECON,Unlisted,2006
AMST,ENGL,Homemaker,2005
AMST,ENGL,Unlisted,2005
AMST,ENGL,Unlisted,2007
AMST,ENGL,Government,2012
ANTH,ENGL,Ministry,2002
ANTH,ENGL,Unlisted,2002
ANTH,ENGL,Other,2003
ANTH,ENGL,Graduate Studies,2006
ANTH,ENGL,Law,2006
ANTH,ENGL,Nursing,2009
ARHS,ENGL,Entertainment,2001
ARHS,ENGL,Unlisted,2003
ARHS,ENGL,Real Estate,2003
ARHS,ENGL,Unlisted,2003
ARHS,ENGL,Government,2007
ARHS,ENGL,Education (Higher Education),2008
ARHS,ENGL,Arts,2009
ARTS,ENGL,Unlisted,2002
ARTS,ENGL,Journalism,2003
ARTS,ENGL,Education (Secondary),2003
ARTS,ENGL,Military,2004
ARTS,ENGL,Banking,2004
ARTS,ENGL,Education (Elementary),2005
ARTS,ENGL,Environment/Ecology,2006
ARTS,ENGL,Unlisted,2007
ARTS,ENGL,Sales,2007
ARTS,ENGL,Education (Higher Education),2008
ARTS,ENGL,Graduate Studies,2009
