"S_ID","PREF_CLASS_YEAR","BUS_EMPLOYER_NAME1","BUS_JOB_TITLE","BUS_FIELD_OF_WORK_CODE","BUS_FIELD_OF_WORK_DESC","BUS_STATE","BUS_DATE_MODIFIED"
"S200460","2002","Employer Unknown","Jeweler-Indep/Multimedia Producer","1610","Other"," ",01-FEB-12
"S200462","2002"," "," "," "," "," ",
"S200463","2002","Saint Andrew's School","Internal Sustainability Coordinator","1140","Education (Secondary)","DE",11-JAN-05
"S960208","2002","Employer Unknown","Childrens Therapist","1370","Medicine"," ",24-OCT-03
"S960422","2002","Chenery Middle School","8th Grade Special Needs Teacher","1140","Education (Secondary)","MA",06-AUG-08
"S970016","2002","Audit Bureau of Circulations","Auditor","1010","Accounting"," ",14-FEB-12
"S970025","2002"," "," "," "," "," ",
"S970027","2002","Penn State","Law Student","1230","Graduate Studies"," ",24-OCT-05
"S970050","2002","Inst.Christ theKingSovereign Priest","Adjunct to the Vice Rector","1400","Ministry"," ",22-OCT-09
"S970129","2002","Walker School","Child Care Specialist","1530","Social Work/Human Services","MA",07-FEB-06
"S970152","2002","United Nations:Int'l Atomic Energy"," "," "," "," ",14-JUN-06
"S970164","2002","Employer Unknown","Graphic Design","1125","ECommerce/Web"," ",01-OCT-03
"S970197","2002"," "," "," "," "," ",
"S970270","2002","Synergy","Contract Attorney","1320","Law"," ",08-DEC-09
"S970277","2002"," "," "," "," "," ",
"S970308","2002","The Fresh Air Fund","Director of Volunteer Programs"," "," ","NY",20-DEC-02
"S970320","2002"," "," "," "," "," ",
"S970372","2002"," "," "," "," "," ",
"S970396","2002"," "," "," "," "," ",
"S970443","2002","Lowell Sun","Reporter","1310","Journalism"," ",01-APR-11
"S970462","2002","Employer Unknown","Research Assistant","1250","Health Care"," ",08-MAR-06
"S970464","2002"," "," "," "," "," ",
"S980001","2002","SGIS"," ","1610","Other"," ",13-MAY-09
"S980002","2002","Philadelphia School District","Kindergarten Teacher","1130","Education (Elementary)"," ",29-APR-09
"S980003","2002","Bowling Green State University","Graduate Assistant","1150","Education (Higher Education)"," ",06-AUG-10
"S980004","2002","World Wildlife Fund","Senior Administrative Assistant","1080","Business","DC",04-DEC-08
"S980005","2002","Norton Museum of Art","Special Assistant/Director's Office","1410","Museum Work","FL",02-SEP-11
"S980007","2002","Wells Fargo Securities","Director","1300","Investment/Securities","NY",09-NOV-11
"S980008","2002","University of Michigan","Associate Director of Major Gifts","1210","Fundraising/Development"," ",28-NOV-12
"S980009","2002","Heading Home","Program Coordinator","1530","Social Work/Human Services"," ",28-MAR-12
"S980010","2002","Emmanuel College","Dir.of Dev.Research & Prospect Mgmt","1210","Fundraising/Development","MA",26-APR-12
"S980011","2002","Hendrix College","Head Coach-Men's Lacrosse","1540","Sports"," ",12-JUL-10
"S980013","2002","Employer Unknown","Fisheries Biologist","1500","Research,Scientific"," ",10-FEB-11
"S980014","2002"," "," "," "," "," ",
"S980015","2002"," "," "," "," "," ",
"S980016","2002","No Employer","Homemaker","1240","Homemaker"," ",12-FEB-07
"S980018","2002"," "," "," "," "," ",
"S980019","2002"," "," "," "," "," ",
"S980020","2002","US Environmental Protection Agency","Principal Investigator, Ecologist","1220","Government","OR",29-SEP-10
"S980021","2002","Our Lady of Grace Monastery","Dominican cloistered nun","1400","Ministry","CT",11-APR-06
"S980022","2002"," "," "," "," "," ",
"S980023","2002","NOAA","Marine Resource Specialist","1610","Other"," ",16-FEB-11
"S980024","2002","CUNY - Graduate Center","Graduate Student","1230","Graduate Studies","NY",18-NOV-08
"S980026","2002","U.S. Dept.of Housing and Urban Dev","Attorney","1320","Law"," ",05-APR-11
"S980027","2002","University of Colorado Hospital","Registered Nurse","1430","Nursing","CO",03-OCT-08
"S980028","2002","Chockstone Pictures","Development Executive","1180","Entertainment","CA",07-DEC-09
"S980029","2002"," "," "," "," "," ",
"S980030","2002","Pittsburgh History & Landmarks Fdn."," ","1480","Real Estate","PA",11-JUL-06
"S980031","2002","Louden County Public Schools"," "," "," "," ",25-JAN-06
"S980032","2002","U.S. House of Representatives","Research Assistant","1220","Government","DC",01-OCT-09
"S980034","2002","Kenyon College","Assoc.Dir.Prog/Admin.KR Fellowships","1150","Education (Higher Education)","OH",01-DEC-11
"S980037","2002","Oracle Theatre Inc.","Literary Manager","1050","Arts"," ",29-AUG-11
"S980039","2002"," "," "," "," "," ",
"S980040","2002","Prevention Magazine (Rodale Inc.)","Senior Online Editor","1310","Journalism","NY",30-AUG-10
"S980041","2002","Rodeph Sholom School","Middle School Administration","1140","Education (Secondary)"," ",11-FEB-11
"S980043","2002","United States Coast Guard"," ","1390","Military"," ",04-NOV-08
"S980044","2002","Citibank","Underwriter","1060","Banking"," ",17-JUL-06
"S980046","2002","The Berkeley Carroll School","2nd Grade Teacher","1130","Education (Elementary)","NY",14-JUL-08
"S980047","2002","National Forest Service","Field Technician","1190","Environment/Ecology"," ",22-SEP-09
"S980048","2002","Urbana Free Library"," "," "," "," ",03-AUG-11
"S980049","2002","Apple Inc","Specialist","1510","Sales","VA",09-JUN-11
"S980050","2002","Centro de Estudios Puertorriquenos","Research Assistant","1150","Education (Higher Education)","NY",03-APR-08
"S980051","2002","Arizona State University","Graduate Student","1230","Graduate Studies","AZ",19-OCT-05
"S980052","2002"," "," "," "," "," ",
"S980053","2002","Employer Unknown","English Teacher","1140","Education (Secondary)"," ",06-MAY-11
"S980054","2002","Shore Publishing, LLC","Living Section Editor","1460","Publishing","CT",15-SEP-06
"S980055","2002","MetroHealth Medical Center","Nurse Practitioner","1430","Nursing","OH",05-OCT-10
"S980057","2002","Employer Unknown","Writer","1580","Writing"," ",24-FEB-05
"S980059","2002"," "," "," "," "," ",
"S980060","2002","Natural Awakenings Magazine","Publisher/Owner","1460","Publishing","AL",22-FEB-11
"S980061","2002","Kitty Hawk Kites"," "," "," "," ",09-NOV-12
"S980062","2002","Penn State","Graduate Student","1230","Graduate Studies"," ",09-DEC-09
"S980063","2002"," "," "," "," "," ",
"S980064","2002","Employer Unknown","Recording Artist","1180","Entertainment"," ",27-OCT-08
"S980065","2002"," "," "," "," "," ",
"S980066","2002"," "," "," "," "," ",
"S980069","2002","Employer Unknown"," ","1150","Education (Higher Education)"," ",10-JUN-09
"S980070","2002","CSI International","Marketing Copywriter"," "," "," ",26-JAN-06
"S980071","2002","U.S. Department of Justice","Trial Attorney","1320","Law","NY",23-FEB-12
"S980072","2002"," "," "," "," "," ",
"S980074","2002"," "," "," "," "," ",01-SEP-10
"S980075","2002"," "," "," "," "," ",
"S980076","2002","No Employer","Full-time Mother","1240","Homemaker"," ",11-DEC-12
"S980077","2002","DePaul University","Graduate Studies","1150","Education (Higher Education)"," ",24-MAY-10
"S980078","2002","Ackerman & Company","Development"," "," "," ",26-FEB-07
"S980080","2002","Lehman Brothers","Analyst","1200","Finance","NY",31-MAR-03
"S980081","2002","Science Museum of Minnesota","Exhibit Developer","1410","Museum Work","MN",12-MAY-11
"S980082","2002"," "," "," "," "," ",
"S980083","2002","Culver Academies","Physics Teacher","1140","Education (Secondary)","IN",05-APR-11
"S980084","2002","Berman & Company","Media Relations Specialist"," "," "," ",26-JAN-06
"S980086","2002","Employer Unknown","Attorney","1320","Law"," ",17-JUL-09
"S980090","2002","Digital Domain","Production Coordinator","1180","Entertainment","CA",02-FEB-12
"S980091","2002","Employer Unknown","Teacher","1130","Education (Elementary)"," ",06-JUL-07
"S980092","2002"," "," "," "," "," ",
"S980094","2002"," "," "," "," "," ",
"S980096","2002","Employer Unknown","Social Work","1530","Social Work/Human Services"," ",27-AUG-07
"S980098","2002"," "," "," "," "," ",
"S980099","2002","Mission Essential Personnel","Recruiter, OEF-A","1220","Government","OH",22-DEC-09
"S980100","2002"," "," "," "," "," ",
"S980101","2002","Glenbrook High School North","History Teacher","1140","Education (Secondary)"," ",26-OCT-04
"S980103","2002"," "," "," "," "," ",
"S980104","2002","Com. Found.for Nat'l Capitol Region","Donor Services Officer","1610","Other"," ",28-OCT-09
