major1,Industry,Salary
(Not Answered),Other (Please describe): Taxation,0
African American Studies,"Education, training and library",200
African American Studies,"Education, training and library",400
African American Studies,Food preparation and serving related,600
African American Studies,Healthcare / medical,800
African American Studies,Other (Please describe): Development/Fundraising,1000
African American Studies,Other (Please describe): Health and Emergency Response,1200
American Studies,(Not Answered),1400
American Studies,"Arts, design, entertainment, sports and media",1600
American Studies,Business and financial/accounting,1800
American Studies,"Education, training and library",2000
American Studies,"Education, training and library",2200
American Studies,"Education, training and library",2400
American Studies,"Education, training and library",2600
American Studies,Food preparation and serving related,2800
American Studies,Healthcare / medical,3000
American Studies,Legal,3200
American Studies,Other (Please describe): International development,3400
American Studies,Other (Please describe): Mental Health Advocacy,3600
Anthropology,"Arts, design, entertainment, sports and media",3800
Anthropology,"Arts, design, entertainment, sports and media",4000
Anthropology,Community and social services,4200
Anthropology,"Education, training and library",4400
Anthropology,"Education, training and library",4600
Anthropology,"Education, training and library",4800
Anthropology,Healthcare / medical,5000
Anthropology,Healthcare / medical,5200
Anthropology,Healthcare / medical,5400
Anthropology,Healthcare / medical,5600
Anthropology,Legal,5800
Anthropology,Legal,6000
Anthropology,Marketing and sales,6200
Anthropology,Marketing and sales,6400
Anthropology,Marketing and sales,6600
Anthropology,Office and administrative support,6800
Anthropology,Office and administrative support,7000
Anthropology,Other (Please describe): Consulting,7200
Anthropology,Other (Please describe): Development/Advancement,7400
Anthropology,Other (Please describe): Government Employee,7600
Anthropology,Other (Please describe): International Development,7800
Anthropology,Other (Please describe): Mental Health Support Clinician (cross between social service and medical.),8000
Anthropology,Other (Please describe): Nonprofit Development,8200
Anthropology,Other (Please describe): post-doc,8400
Anthropology,Other (Please describe): research assistant,8600
Archaeology,Legal,8800
Area Studies - Latin American Studies,Business and financial/accounting,9000
Area Studies - Latin American Studies,"Education, training and library",9200
Area Studies - Latin American Studies,Legal,9400
Area Studies - Latin American Studies,Office and administrative support,9600
Art - Art History,(Not Answered),9800
Art - Art History,(Not Answered),10000
Art - Art History,"Arts, design, entertainment, sports and media",10200
Art - Art History,"Arts, design, entertainment, sports and media",10400
Art - Art History,"Arts, design, entertainment, sports and media",10600
Art - Art History,"Arts, design, entertainment, sports and media",10800
Art - Art History,"Arts, design, entertainment, sports and media",11000
Art - Art History,Business and financial/accounting,11200
Art - Art History,Computer and mathematical,11400
Art - Art History,"Education, training and library",11600
Art - Art History,"Education, training and library",11800
Art - Art History,"Education, training and library",12000
Art - Art History,"Education, training and library",12200
Art - Art History,Healthcare / medical,12400
Art - Art History,Legal,12600
Art - Art History,Legal,12800
Art - Art History,Marketing and sales,13000
Art - Art History,Marketing and sales,13200
Art - Art History,Marketing and sales,13400
Art - Art History,Marketing and sales,13600
Art - Art History,Other (Please describe): Book Buying Business,13800
Art - Art History,Other (Please describe): Travel,14000
Art - Art History,Other (Please describe): University admission recruitment,14200
Art - Studio Art,"Arts, design, entertainment, sports and media",14400
Art - Studio Art,Business and financial/accounting,14600
Art - Studio Art,Community and social services,14800
Art - Studio Art,"Education, training and library",15000
Astronomy,"Education, training and library",15200
Biology,(Not Answered),15400
Biology,(Not Answered),15600
Biology,(Not Answered),15800
Biology,(Not Answered),16000
Biology,Architecture and engineering,16200
Biology,Business and financial/accounting,16400
Biology,Computer and mathematical,16600
Biology,"Education, training and library",16800
Biology,"Education, training and library",17000
Biology,"Education, training and library",17200
Biology,"Education, training and library",17400
Biology,"Education, training and library",17600
Biology,"Farming, fishing and forestry",17800
Biology,Healthcare / medical,18000
Biology,Healthcare / medical,18200
Biology,Healthcare / medical,18400
Biology,Healthcare / medical,18600
Biology,Healthcare / medical,18800
Biology,Healthcare / medical,19000
Biology,Healthcare / medical,19200
Biology,Healthcare / medical,19400
Biology,Healthcare / medical,19600
Biology,Healthcare / medical,19800
Biology,Healthcare / medical,20000
Biology,Healthcare / medical,20200
Biology,Healthcare / medical,20400
Biology,Healthcare / medical,20600
Biology,Healthcare / medical,20800
Biology,Healthcare / medical,21000
Biology,Healthcare / medical,21200
Biology,Healthcare / medical,21400
Biology,Healthcare / medical,21600
Biology,Healthcare / medical,21800
Biology,Healthcare / medical,22000
Biology,Healthcare / medical,22200
Biology,Healthcare / medical,22400
Biology,Healthcare / medical,22600
Biology,Healthcare / medical,22800
Biology,Healthcare / medical,23000
Biology,Healthcare / medical,23200
Biology,Healthcare / medical,23400
Biology,Legal,23600
Biology,Legal,23800
Biology,Legal,24000
Biology,"Life, physical and social sciences",24200
Biology,"Life, physical and social sciences",24400
Biology,"Life, physical and social sciences",24600
Biology,Office and administrative support,24800
Biology,Office and administrative support,25000
Biology,Other (Please describe): Human Resources,25200
Biology,Other (Please describe): Lobbying,25400
Biology,Other (Please describe): Logistics Analysis,25600
Biology,Other (Please describe): Public Health,25800
Biology,Other (Please describe): public health research,26000
Biology,Other (Please describe): Quality Assurance,26200
Chemistry,(Not Answered),26400
Chemistry,(Not Answered),26600
Chemistry,Architecture and engineering,26800
Chemistry,"Arts, design, entertainment, sports and media",27000
Chemistry,"Arts, design, entertainment, sports and media",27200
Chemistry,"Education, training and library",27400
Chemistry,"Education, training and library",27600
Chemistry,Healthcare / medical,27800
Chemistry,Healthcare / medical,28000
Chemistry,Healthcare / medical,28200
Chemistry,Healthcare / medical,28400
Chemistry,Healthcare / medical,28600
Chemistry,Healthcare / medical,28800
Chemistry,Healthcare / medical,29000
Chemistry,Healthcare / medical,29200
Chemistry,Healthcare / medical,29400
Chemistry,Healthcare / medical,29600
Chemistry,Healthcare / medical,29800
Chemistry,Healthcare / medical,30000
Chemistry,Healthcare / medical,30200
Chemistry,Healthcare / medical,30400
Chemistry,Legal,30600
Chemistry,"Life, physical and social sciences",30800
Chemistry,"Life, physical and social sciences",31000
Chemistry,Marketing and sales,31200
Chinese Language & Literature,"Education, training and library",31400
Chinese Language & Literature,"Education, training and library",31600
Classics,"Education, training and library",31800
Classics,"Education, training and library",32000
Classics,"Education, training and library",32200
Classics,Legal,32400
Classics,Management,32600
Classics,Marketing and sales,32800
Classics,Other (Please describe): Procurement,33000
Cognitive Science,(Not Answered),33200
Cognitive Science,"Arts, design, entertainment, sports and media",33400
Cognitive Science,Computer and mathematical,33600
Cognitive Science,"Education, training and library",33800
Cognitive Science,Food preparation and serving related,34000
Cognitive Science,Healthcare / medical,34200
Cognitive Science,Healthcare / medical,34400
cognitive science,Healthcare / medical,34600
Cognitive Science,Healthcare / medical,34800
Cognitive Science,Healthcare / medical,35000
Cognitive Science,Legal,35200
Cognitive Science,"Life, physical and social sciences",35400
Cognitive Science,"Life, physical and social sciences",35600
Cognitive Science,Management,35800
Cognitive Science,Office and administrative support,36000
Cognitive Science,Office and administrative support,36200
Comparative Literature,Healthcare / medical,36400
Comparative Literature,Office and administrative support,36600
Computer Science,Business and financial/accounting,36800
Computer Science,Computer and mathematical,37000
Computer Science,Personal care and service,37200
Drama,(Not Answered),37400
Drama,"Arts, design, entertainment, sports and media",37600
