Industry Tags,Architecture/Engineering,Arts/Media,Business,Social Services,Computer/Math,Education,Environmental Services/Business,Financial Services,Government Services,Healthcare/Medical,Legal
Industry,Architecture and engineering,"Arts, design, entertainment, sports and media",Business and financial/accounting,Community and social services,Computer and mathematical,"Education, training and library","Farming, fishing and forestry",Other (Please describe): Asset Management,Military service,Healthcare / medical,Legal
,Other (Please describe): Engineering,Other (Please describe): Athletics,Management,Other (Please describe): advocacy,Other (Please describe): IT (software development),Other (Please describe): academia/ research,Other (Please describe): agriculture,Other (Please describe): analyst,"Other (Please describe): Communications, UNHCR Headquarters","Life, physical and social sciences",Law enforcement
,Other (Please describe): Facilities and Design Consulting,Other (Please describe): Media,Marketing and sales,Other (Please describe): church,Other (Please describe): IT project management,Other (Please describe): Academic Administrative- University,Other (Please describe): Energy,Other (Please describe): economic research,Other (Please describe): Defense,Other (Please describe): Health and Emergency Response,Other (Please describe): Taxation
,,Other (Please describe): Media and Advertising,Office and administrative support,Other (Please describe): Clergy,Other (Please describe): IT Tech Support,Other (Please describe): Academic publishing,Other (Please describe): Environmental conservation writing,Other (Please describe): Economist,Other (Please describe): Defense (Federal Government),Personal care and service,
,,Other (Please describe): Media/Book/Speech Writing,Other (Please describe): Business Technology Consulting,Other (Please describe): College Ministry,Other (Please describe): IT/ Web Development / User Experience,"Other (Please describe): Chief Development Officer - overseeing fundraising, marketing, PR, and events for a museum",Other (Please describe): Environmental Science - Geology,Other (Please describe): Financial consultancy,Other (Please describe): DoD Contracting,Other (Please describe): Health and Emergency Response,
,,,Other (Please describe): Chemical Manufacturing,Other (Please describe): house mom at sorority,Other (Please describe): Web Design and Communications,Other (Please describe): Development,Other (Please describe): Evironmental Consulting in the resort industry,Other (Please describe): financial counseling,Other (Please describe): Federal Congressional staff,Other (Please describe): Mental Health,
,,,Other (Please describe): Communications,Other (Please describe): Nonprofit Development,Other (Please describe): Software Testing,Other (Please describe): Development,Other (Please describe): Seismology,Other (Please describe): insurance,Other (Please describe): Federal consulting,Other (Please describe): Mental Health Advocacy,
,,,Other (Please describe): Communications,Other (Please describe): philanthropy consulting,,Other (Please describe): Development,Other (Please describe): Business development in renewable energy industry,Other (Please describe): Investments,Other (Please describe): Government Administration,Other (Please describe): Mental Health Support Clinician (cross between social service and medical.),
,,,Other (Please describe): Consulting,Other (Please describe): Religious Non-Profit Campus Ministry Organization,,Other (Please describe): Development/Advancement,Other (Please describe): Consulting - Energy,Other (Please describe): Real estate development and finance,Other (Please describe): Government Consulting,Other (Please describe): Public Health,
,,,Other (Please describe): Communications/Public Relations,Other (Please describe): Volunteer and Outreach Management,,Other (Please describe): Development/Fundraising,Other (Please describe): Business development in renewable energy industry,Other (Please describe): Real Estate Settlements/Closings,Other (Please describe): Government Contractor,Other (Please describe): public health research,
,,,Other (Please describe): Consulting/Public Affairs,Other (Please describe): Women's leadership programming,,Other (Please describe): Development/Fundraising,"Other (Please describe): Real Estate, Envirnonmental Sustainability",,Other (Please describe): Government contractor,Other (Please describe): Speech therapist in medical setting,
,,,Other (Please describe): Consumer product,Other (Please describe): Animal Care,,Other (Please describe): Development/Fundraising,,,Other (Please describe): Government contractor/national security,,
,,,Other (Please describe): Analysis,,,Other (Please describe): Fraternal event planning & management,,,Other (Please describe): Government Employee,,
,,,Other (Please describe): Book Buying Business,,,Other (Please describe): fundraising,,,"Other (Please describe): Government, Consulting",,
,,,Transportation,,,Other (Please describe): Fundraising,,,Other (Please describe): Hill staffer,,
,,,Other (Please describe): Travel,,,Other (Please describe): Fundraising,,,Other (Please describe): government,,
,,,Other (Please describe): Entrepreneurship,,,Other (Please describe): Education administration,,,Other (Please describe): Foreign Affairs,,
,,,Other (Please describe): Management Consulting,,,Other (Please describe): Library,,,Other (Please describe): foreign affairs,,
