major1,major2,Industry
(Not Answered),,Other (Please describe): Taxation
African American Studies,,"Education, training and library"
African American Studies,,"Education, training and library"
African American Studies,,Food preparation and serving related
African American Studies,,Healthcare / medical
African American Studies,,Other (Please describe): Development/Fundraising
African American Studies,,Other (Please describe): Health and Emergency Response
American Studies,,(Not Answered)
American Studies,,"Arts, design, entertainment, sports and media"
American Studies,,Business and financial/accounting
American Studies,,"Education, training and library"
American Studies,,"Education, training and library"
American Studies,,"Education, training and library"
American Studies,,"Education, training and library"
American Studies,,Food preparation and serving related
American Studies,,Healthcare / medical
American Studies,,Legal
American Studies,,Other (Please describe): International development
American Studies,,Other (Please describe): Mental Health Advocacy
Anthropology,,"Arts, design, entertainment, sports and media"
Anthropology,,"Arts, design, entertainment, sports and media"
Anthropology,,Community and social services
Anthropology,,"Education, training and library"
Anthropology,,"Education, training and library"
Anthropology,,"Education, training and library"
Anthropology,,Healthcare / medical
Anthropology,,Healthcare / medical
Anthropology,,Healthcare / medical
Anthropology,,Healthcare / medical
Anthropology,,Legal
Anthropology,,Legal
Anthropology,,Marketing and sales
Anthropology,,Marketing and sales
Anthropology,,Marketing and sales
Anthropology,,Office and administrative support
Anthropology,,Office and administrative support
Anthropology,,Other (Please describe): Consulting
Anthropology,,Other (Please describe): Development/Advancement
Anthropology,,Other (Please describe): Government Employee
Anthropology,,Other (Please describe): International Development
Anthropology,,Other (Please describe): Mental Health Support Clinician (cross between social service and medical.)
Anthropology,,Other (Please describe): Nonprofit Development
Anthropology,,Other (Please describe): post-doc
Anthropology,,Other (Please describe): research assistant
Archaeology,,Legal
Area Studies - Latin American Studies,,Business and financial/accounting
Area Studies - Latin American Studies,,"Education, training and library"
Area Studies - Latin American Studies,,Legal
Area Studies - Latin American Studies,,Office and administrative support
Art - Art History,,(Not Answered)
Art - Art History,,(Not Answered)
Art - Art History,,"Arts, design, entertainment, sports and media"
Art - Art History,,"Arts, design, entertainment, sports and media"
Art - Art History,,"Arts, design, entertainment, sports and media"
Art - Art History,,"Arts, design, entertainment, sports and media"
Art - Art History,,"Arts, design, entertainment, sports and media"
Art - Art History,,Business and financial/accounting
Art - Art History,,Computer and mathematical
Art - Art History,,"Education, training and library"
Art - Art History,,"Education, training and library"
Art - Art History,,"Education, training and library"
Art - Art History,,"Education, training and library"
Art - Art History,,Healthcare / medical
Art - Art History,,Legal
Art - Art History,,Legal
Art - Art History,,Marketing and sales
Art - Art History,,Marketing and sales
Art - Art History,,Marketing and sales
Art - Art History,,Marketing and sales
Art - Art History,,Other (Please describe): Book Buying Business
Art - Art History,,Other (Please describe): Travel
Art - Art History,,Other (Please describe): University admission recruitment
Art - Studio Art,,"Arts, design, entertainment, sports and media"
Art - Studio Art,,Business and financial/accounting
Art - Studio Art,,Community and social services
Art - Studio Art,,"Education, training and library"
Astronomy,,"Education, training and library"
Biology,,(Not Answered)
Biology,,(Not Answered)
Biology,,(Not Answered)
Biology,,(Not Answered)
Biology,,Architecture and engineering
Biology,,Business and financial/accounting
Biology,,Computer and mathematical
Biology,,"Education, training and library"
Biology,,"Education, training and library"
Biology,,"Education, training and library"
Biology,,"Education, training and library"
Biology,,"Education, training and library"
Biology,,"Farming, fishing and forestry"
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Healthcare / medical
Biology,,Legal
Biology,,Legal
Biology,,Legal
Biology,,"Life, physical and social sciences"
Biology,,"Life, physical and social sciences"
Biology,,"Life, physical and social sciences"
Biology,,Office and administrative support
Biology,,Office and administrative support
Biology,,Other (Please describe): Human Resources
Biology,,Other (Please describe): Lobbying
Biology,,Other (Please describe): Logistics Analysis
Biology,,Other (Please describe): Public Health
Biology,,Other (Please describe): public health research
Biology,,Other (Please describe): Quality Assurance
Chemistry,,(Not Answered)
Chemistry,,(Not Answered)
Chemistry,,Architecture and engineering
Chemistry,,"Arts, design, entertainment, sports and media"
Chemistry,,"Arts, design, entertainment, sports and media"
Chemistry,,"Education, training and library"
Chemistry,,"Education, training and library"
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Healthcare / medical
Chemistry,,Legal
Chemistry,,"Life, physical and social sciences"
Chemistry,,"Life, physical and social sciences"
Chemistry,,Marketing and sales
Chinese Language & Literature,,"Education, training and library"
