Major Tags,History,Culture Studies,Art/Music,Physics/Astronomy,Biology,Chemistry,Languages,Economics,English/Literature,Political Studies,Mathematics,Philosophy/Religion,Psychology,Geosciences,Computer Science
major1,History,Asian Studies,Art,Astronomy,Biology,Biochemistry,French,Economics,English,International Relations,Mathematics,Philosophy,Psychology,Geology,Computer Science
major2,American History,African & Middle Eastern Studies,Art History,Astronomy and Physics,Environmental Studies,Chemistry,German,Business,Comparative Literature,Political Science,Contract Major-Div.3,Religion,Clinical Psychology,Geology & Mineralogy,
,American History & Literature,African Education,Architecture,Astrophysics,Medicine,Biogeochemistry,Chinese,Political Economy,Contract Major-Div.1,Political Philosophy,Mathematic Sciences,Ideologies,,Geosciences,
,Archaeology,African History,Design,Civil Engineering,Neuroscience,Organic Chemistry,Chinese Literature,,English Literature,Comparative Politics,Statistics,Theology,,Natural Resources,
,European History,Afro-American Studies,Drama,Electrical Engineering,,Physical Chemistry,Russian,,Literary Studies,Environmental Policy,,,,,
,History of Ideas,American Civilization,Film,Physics,,,Spanish,,Literature,International Relations,,,,,
,,American Studies,Fine Arts,,,,Classics,,,International Studies,,,,,
,,Anthropology,Music,,,,Far Eastern Languages,,,Maritime/Admiralty Law,,,,,
,,Arab Studies,Music History,,,,French Literature,,,,,,,,
,,Contract Major,Studio Art,,,,German Literature,,,,,,,,
,,Contract Major-Div.2,Theatre,,,,Greek,,,,,,,,
,,East Asia/Japan,,,,,Japanese,,,,,,,,
,,General Studies,,,,,Latin,,,,,,,,
,,Latin America Studies,,,,,Linguistics,,,,,,,,
,,Women's and Gender Studies,,,,,Russian Literature,,,,,,,,
,,Women's Studies,,,,,Spanish Literature,,,,,,,,
,,Urban Studies,,,,,,,,,,,,,
,,Russian Area Studies,,,,,,,,,,,,,
,,Social Studies,,,,,,,,,,,,,
,,Sociology,,,,,,,,,,,,,
,,Soviet Studies,,,,,,,,,,,,,
