major1,major2,Industry
Women's Studies,,Political Science
Theatre,,Art
Theatre,,Art
Theatre,,Classics
Theatre,,Economics
Theatre,,English
Theatre,,English
Theatre,,English
Theatre,,English
Theatre,,English
Theatre,,English
Theatre,,English
Theatre,,French
Theatre,,History
Theatre,,Literary Studies
Theatre,,Mathematics
Theatre,,Philosophy
Theatre,,Physics
Theatre,,Political Science
Theatre,,Political Science
Theatre,,Psychology
Theatre,,Psychology
Theatre,,Psychology
Theatre,,Psychology
Theatre,,Religion
Theatre,,Women's Studies
Theatre,,Women's Studies
Studio Art,,Architecture
Studio Art,,Architecture
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Art History
Studio Art,,Asian Studies
Studio Art,,Biology
Studio Art,,Biology
Studio Art,,Economics
Studio Art,,Economics
Studio Art,,Economics
Studio Art,,Economics
Studio Art,,Economics
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English
Studio Art,,English Literature
Studio Art,,Environmental Studies
Studio Art,,Environmental Studies
Studio Art,,Environmental Studies
Studio Art,,French
Studio Art,,French
Studio Art,,French
Studio Art,,History
Studio Art,,History
Studio Art,,History of Ideas
Studio Art,,History of Ideas
Studio Art,,Mathematics
Studio Art,,Philosophy
Studio Art,,Political Science
Studio Art,,Psychology
Studio Art,,Women's Studies
Spanish,,Art
Spanish,,Asian Studies
Spanish,,Asian Studies
Spanish,,Biology
Spanish,,Biology
Spanish,,Economics
Spanish,,Economics
Spanish,,Economics
Spanish,,Economics
Spanish,,English
Spanish,,English
Spanish,,English
Spanish,,French
Spanish,,French
Spanish,,History
Spanish,,History
Spanish,,History
Spanish,,History
Spanish,,International Studies
Spanish,,Latin America Studies
Spanish,,Latin America Studies
Spanish,,Literature
Spanish,,Political Science
Spanish,,Political Science
Spanish,,Political Science
Spanish,,Psychology
Spanish,,Psychology
Spanish,,Psychology
Spanish,,Psychology
Spanish,,Psychology
Spanish,,Psychology
Spanish,,Religion
Sociology,,American Studies
Sociology,,Art
Sociology,,Asian Studies
Sociology,,Asian Studies
Sociology,,English
Sociology,,English
Sociology,,English
Sociology,,English
Sociology,,Environmental Studies
Sociology,,Environmental Studies
Sociology,,French
Sociology,,Mathematics
Sociology,,Political Science
Sociology,,Psychology
Sociology,,Spanish
Russian,,Art
Russian,,Art
Russian,,Astrophysics
Russian,,Economics
Russian,,Economics
Russian,,English
Russian,,History
Russian,,Literary Studies
Russian,,Political Science
Russian,,Political Science
Russian,,Political Science
Russian,,Political Science
Russian,,Political Science
Russian,,Russian Literature
Religion,,Afro-American Studies
Religion,,Anthropology
Religion,,Art
Religion,,Art
Religion,,Art
Religion,,Art
Religion,,Art History
Religion,,Art History
Religion,,Asian Studies
Religion,,Biology
Religion,,Chemistry
Religion,,Chinese
Religion,,Economics
Religion,,English
Religion,,English
Religion,,English
Religion,,English
Religion,,English
Religion,,English
Religion,,English
Religion,,English
Religion,,Environmental Studies
Religion,,Environmental Studies
Religion,,History
Religion,,Latin America Studies
Religion,,Literary Studies
Religion,,Mathematic Sciences
Religion,,Mathematics
Religion,,Mathematics
Religion,,Music
Religion,,Philosophy
Religion,,Philosophy
Religion,,Philosophy
Religion,,Physics
Religion,,Physics
Religion,,Political Science
Religion,,Political Science
Religion,,Political Science
Religion,,Political Science
Religion,,Political Science
Religion,,Political Science
Religion,,Psychology
Religion,,Psychology
Religion,,Psychology
Religion,,Sociology
Religion,,Spanish
Religion,,Theatre
Religion,,Theatre
Religion,,Theatre
Religion,,Theatre
Religion,,Women's Studies
Psychology,,Afro-American Studies
Psychology,,American Civilization
Psychology,,American Civilization
Psychology,,American Civilization
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,American Studies
Psychology,,Anthropology
Psychology,,Anthropology
Psychology,,Anthropology
Psychology,,Anthropology
Psychology,,Anthropology
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art
Psychology,,Art History
Psychology,,Art History
Psychology,,Art History
Psychology,,Art History
Psychology,,Art History
Psychology,,Asian Studies
Psychology,,Asian Studies
Psychology,,Asian Studies
Psychology,,Asian Studies
Psychology,,Asian Studies
Psychology,,Asian Studies
Psychology,,Biology
Psychology,,Biology
Psychology,,Biology
Psychology,,Biology
Psychology,,Biology
