Industry Tags,Arts/Entertainment,Writing/Communication,Social/Religious Services,Government,Law,Sales,Consulting,Banking/Financial,Insurance/Management,K-12 Education,College Education,Health/Medicine,Engineering/Construction,Technology,Other,Graduate Studies
Industry,Architecture,Communications,Environment/Ecology,Government,Law,Advertising,Consulting,Banking,Accounting,Education (Elementary),Education (Higher Education),Health Care,Energy Industries,Computer,Homemaker,Graduate Studies
,Arts,Journalism,Human Resources,Law Enforcement,,Marketing/Market Research,,Finance,Business,Education (Secondary),"Research,Scientific",Medicine,Construction,ECommerce/Web,International,
,Broadcast-Radio/Television,Publishing,Library Science,Military,,Merchandising/Retail,,Fundraising/Development,Hotel/Food Management,,"Research, Other",Nursing,Engineering,,Self Employed,
,Entertainment,Telecommunications,Ministry,Transportation,,Public Relations,,Investment/Securities,Insurance,,,Psychology/Counseling/Therapy,Manufacturing,,Other,
,Museum Work,Writing,Non-Profit Adminstration,,,Real Estate,,,,,,Veterinary/Animal Care,Agriculture,,,
,Music,,Social Work/Human Services,,,Sales,,,,,,,,,,
,Performing Arts,,Volunteer,,,Travel Agency/Tourism,,,,,,,,,,
,Photography,,,,,,,,,,,,,,,
,Sports,,,,,,,,,,,,,,,
