major1,major2,Industry,gradyear,Salary
AMST,ARHS,Other,2007,0
AMST,DANC,Unlisted,2005,200
AMST,DANC,Law,2009,400
AMST,DRAM,Unlisted,2004,600
AMST,DRAM,Unlisted,2006,800
AMST,DRAM,Unlisted,2006,1000
AMST,DRAM,Unlisted,2007,1200
AMST,DRAM,Journalism,2009,1400
AMST,ENGL,Homemaker,2005,1600
AMST,ENGL,Unlisted,2005,1800
AMST,ENGL,Unlisted,2007,2000
AMST,ENGL,Government,2012,2200
AMST,HIST,Other,2011,2400
AMST,MUSC,Unlisted,2011,2600
AMST,PSYC,Journalism,2008,2800
AMST,SOCY,Other,2005,3000
AMST,SOCY,Unlisted,2010,3200
AMST,,Government,1984,3400
AMST,,Social Work/Human Services,1993,3600
AMST,,Unlisted,1999,3800
AMST,,Graduate Studies,1999,4000
AMST,,Education (Secondary),2000,4200
AMST,,Finance,2003,4400
AMST,,Unlisted,2003,4600
AMST,,Transportation,2003,4800
AMST,,Finance,2005,5000
AMST,,"Research,Scientific",2003,5200
AMST,,Investment/Securities,2003,5400
AMST,,Law,2003,5600
AMST,,Nursing,2004,5800
AMST,,Government,2004,6000
AMST,,Fundraising/Development,2004,6200
AMST,,Marketing/Market Research,2004,6400
AMST,,Graduate Studies,2004,6600
AMST,,Graduate Studies,2005,6800
AMST,,Graduate Studies,2005,7000
AMST,,Real Estate,2005,7200
AMST,,Unlisted,2005,7400
AMST,,Environment/Ecology,2005,7600
AMST,,Other,2005,7800
AMST,,Education (Higher Education),2005,8000
AMST,,Unlisted,2005,8200
AMST,,Unlisted,2005,8400
AMST,,Unlisted,2006,8600
AMST,,Unlisted,2006,8800
AMST,,Performing Arts,2006,9000
AMST,,Unlisted,2006,9200
AMST,,Unlisted,2006,9400
AMST,,Education (Higher Education),2006,9600
AMST,,Unlisted,2006,9800
AMST,,Veterinary/Animal Care,2006,10000
AMST,,Unlisted,2006,10200
AMST,,Military,2006,10400
AMST,,Unlisted,2006,10600
AMST,,Unlisted,2006,10800
AMST,,Transportation,2006,11000
AMST,,Graduate Studies,2006,11200
AMST,,Unlisted,2006,11400
AMST,,Unlisted,2006,11600
AMST,,Graduate Studies,2006,11800
AMST,,Education (Secondary),2007,12000
AMST,,Computer,2007,12200
AMST,,Unlisted,2007,12400
AMST,,Unlisted,2007,12600
AMST,,Consulting,2007,12800
AMST,,Unlisted,2007,13000
AMST,,Unlisted,2007,13200
AMST,,Non-Profit Adminstration,2008,13400
AMST,,Unlisted,2008,13600
AMST,,Graduate Studies,2008,13800
AMST,,Sales,2008,14000
AMST,,Education (Higher Education),2008,14200
AMST,,International,2008,14400
AMST,,Unlisted,2008,14600
AMST,,Education (Higher Education),2008,14800
AMST,,Unlisted,2008,15000
AMST,,Education (Secondary),2008,15200
AMST,,Graduate Studies,2008,15400
AMST,,Business,2008,15600
AMST,,Writing,2008,15800
AMST,,Unlisted,2008,16000
AMST,,Unlisted,2008,16200
AMST,,Sales,2008,16400
AMST,,Homemaker,2008,16600
AMST,,Public Relations,2008,16800
AMST,,Unlisted,2009,17000
AMST,,Unlisted,2009,17200
AMST,,Unlisted,2009,17400
AMST,,Business,2009,17600
AMST,,Government,2009,17800
AMST,,Unlisted,2009,18000
AMST,,Unlisted,2009,18200
AMST,,Unlisted,2009,18400
AMST,,Graduate Studies,2009,18600
AMST,,Unlisted,2009,18800
AMST,,Hotel/Food Management,2010,19000
AMST,,Unlisted,2010,19200
AMST,,Government,2010,19400
AMST,,Unlisted,2010,19600
AMST,,Homemaker,2010,19800
AMST,,Unlisted,2010,20000
AMST,,Medicine,2010,20200
AMST,,Advertising,2010,20400
AMST,,Law,2010,20600
AMST,,Veterinary/Animal Care,2010,20800
AMST,,Fundraising/Development,2011,21000
AMST,,Unlisted,2011,21200
AMST,,Unlisted,2011,21400
AMST,,Arts,2011,21600
AMST,,Energy Industries,2012,21800
ANTH,ARHS,Unlisted,2004,22000
ANTH,ARTS,Education (Secondary),2004,22200
ANTH,ARTS,Medicine,2005,22400
ANTH,ARTS,Education (Secondary),2008,22600
ANTH,BIOL,Unlisted,2004,22800
ANTH,CLAS,Unlisted,2007,23000
ANTH,DRAM,Health Care,2011,23200
ANTH,ECON,Other,2002,23400
ANTH,ECON,Education (Elementary),2003,23600
ANTH,ENGL,Ministry,2002,23800
ANTH,ENGL,Unlisted,2002,24000
ANTH,ENGL,Other,2003,24200
ANTH,ENGL,Graduate Studies,2006,24400
ANTH,ENGL,Law,2006,24600
ANTH,ENGL,Nursing,2009,24800
